bus_line_key,bus_line,invc_fee_desc,curr_row_flg,row_strt_dttm,src_sys_id,etl_load_cyc_key
1,Defined Contribution Plans Only (12b-1),DEFINED CONTRIBUTION PLANS ONLY (12B-1),Y,2020-04-10T20:13:43.175-05:00,4,1
2,Retirement plans establsihed on or after 6/9/06,RETIREMENT PLANS ESTABLSIHED ON OR AFTER 6/9/06,Y,2020-04-10T20:13:43.175-05:00,4,1
3,"10 bp on qualified retirement plans pursuant to Section 401(k) under the IRC of 1986, as amended, which have established an invesment with the Funds on or after 6/12/2008","10 BP ON QUALIFIED RETIREMENT PLANS PURSUANT TO SECTION 401(K) UNDER THE IRC OF 1986, AS AMENDED, WHICH HAVE ESTABLISHED AN INVESMENT WITH THE FUNDS ON OR AFTER 6/12/2008",Y,2020-04-10T20:13:43.175-05:00,4,1
4,5 bp on Plans that did not hold or invest in Shares of Harbor Funds prior to 7/31/2006,5 BP ON PLANS THAT DID NOT HOLD OR INVEST IN SHARES OF HARBOR FUNDS PRIOR TO 7/31/2006,Y,2020-04-10T20:13:43.175-05:00,4,1
5,Retirement plans established on or after 6/9/06,RETIREMENT PLANS ESTABLISHED ON OR AFTER 6/9/06,Y,2020-04-10T20:13:43.175-05:00,4,1
6,QRPs established on or after 6/1/2009 with TPA 105900,QRPS ESTABLISHED ON OR AFTER 6/1/2009 WITH TPA 105900,Y,2020-04-10T20:13:43.175-05:00,4,1
7,Retirement FundsNetwork,RETIREMENT FUNDSNETWORK,Y,2020-04-10T20:13:43.175-05:00,4,1
8,3 bp on all Plans,3 BP ON ALL PLANS,Y,2020-04-10T20:13:43.175-05:00,4,1
9,"Omnibus Only - 3 bp in 2013, 4 bp in 2014, 5 bp thereafter","OMNIBUS ONLY - 3 BP IN 2013, 4 BP IN 2014, 5 BP THEREAFTER",Y,2020-04-10T20:13:43.175-05:00,4,1
10,SPC1 - Omnibus only,SPC1 - OMNIBUS ONLY,Y,2020-04-10T20:13:43.175-05:00,4,1
11,5 bp on assets owned beneficially by the Standard Retirement Services Plans** through accounts established on or after 9/20/2006,5 BP ON ASSETS OWNED BENEFICIALLY BY THE STANDARD RETIREMENT SERVICES PLANS** THROUGH ACCOUNTS ESTABLISHED ON OR AFTER 9/20/2006,Y,2020-04-10T20:13:43.175-05:00,4,1
12,"Assets in retirement plans that did not invest in any Harbor Fund prior to January 1, 2013 are eligible","ASSETS IN RETIREMENT PLANS THAT DID NOT INVEST IN ANY HARBOR FUND PRIOR TO JANUARY 1, 2013 ARE ELIGIBLE",Y,2020-04-10T20:13:43.175-05:00,4,1
13,10 bp on Qualified Retirement Plans which establish an investment in any of the equity Funds on or after 6/20/2008,10 BP ON QUALIFIED RETIREMENT PLANS WHICH ESTABLISH AN INVESTMENT IN ANY OF THE EQUITY FUNDS ON OR AFTER 6/20/2008,Y,2020-04-10T20:13:43.175-05:00,4,1
14,SPC1 includes MetLife and Non-MetLife Plans; PAF paid per individual (non-plan account) and/or plan participant sub-account and excludes Met Life Plans,SPC1 INCLUDES METLIFE AND NON-METLIFE PLANS; PAF PAID PER INDIVIDUAL (NON-PLAN ACCOUNT) AND/OR PLAN PARTICIPANT SUB-ACCOUNT AND EXCLUDES MET LIFE PLANS,Y,2020-04-10T20:13:43.175-05:00,4,1
16,No-Load,"FEE ON CUSTOMER, BROADCORT AND MLD ACCOUNTS",Y,2020-04-10T20:13:43.175-05:00,4,1
17,"6 bp - Omnibus only (Note: previously 4 bp in 2013, and 5 bp in 2014)","6 BP - OMNIBUS ONLY (NOTE: PREVIOUSLY 4 BP IN 2013, AND 5 BP IN 2014)",Y,2020-04-10T20:13:43.175-05:00,4,1
18,10 bp on Plans that did not hold or invest in Shares of Harbor Funds prior to 7/31/2006,10 BP ON PLANS THAT DID NOT HOLD OR INVEST IN SHARES OF HARBOR FUNDS PRIOR TO 7/31/2006,Y,2020-04-10T20:13:43.175-05:00,4,1
