TRGT_FUND_NBR,EFFTV_STRT_DT,EFFTV_END_DT,FUND_NBR,WGT_TYPE,TRGT_FUND_WGT
2600,1/1/2009,9/9/2009,2010,"MODEL",0.0104
2601,1/1/2009,9/9/2009,2010,"MODEL",0.0156
2602,1/1/2009,9/9/2009,2010,"MODEL",0.0182
2603,1/1/2009,9/9/2009,2010,"MODEL",0.0208
2604,1/1/2009,9/9/2009,2010,"MODEL",0.026
2605,1/1/2009,9/9/2009,2010,"MODEL",0.0312
2606,1/1/2009,9/9/2009,2010,"MODEL",0.0364
2607,1/1/2009,9/9/2009,2010,"MODEL",0.0416
2608,1/1/2009,9/9/2009,2010,"MODEL",0.0468
2609,1/1/2009,9/9/2009,2010,"MODEL",0.0468
2600,1/1/2009,9/9/2009,2011,"MODEL",0.049
2601,1/1/2009,9/9/2009,2011,"MODEL",0.0735
2602,1/1/2009,9/9/2009,2011,"MODEL",0.08575
2603,1/1/2009,9/9/2009,2011,"MODEL",0.098
2604,1/1/2009,9/9/2009,2011,"MODEL",0.1225
2605,1/1/2009,9/9/2009,2011,"MODEL",0.147
2606,1/1/2009,9/9/2009,2011,"MODEL",0.1715
2607,1/1/2009,9/9/2009,2011,"MODEL",0.196
2608,1/1/2009,9/9/2009,2011,"MODEL",0.2205
2609,1/1/2009,9/9/2009,2011,"MODEL",0.2205
2600,1/1/2009,9/9/2009,2012,"MODEL",0.0286
2601,1/1/2009,9/9/2009,2012,"MODEL",0.0429
2602,1/1/2009,9/9/2009,2012,"MODEL",0.05005
2603,1/1/2009,9/9/2009,2012,"MODEL",0.0572
2604,1/1/2009,9/9/2009,2012,"MODEL",0.0715
2605,1/1/2009,9/9/2009,2012,"MODEL",0.0858
2606,1/1/2009,9/9/2009,2012,"MODEL",0.1001
2607,1/1/2009,9/9/2009,2012,"MODEL",0.1144
2608,1/1/2009,9/9/2009,2012,"MODEL",0.1287
2609,1/1/2009,9/9/2009,2012,"MODEL",0.1287
2600,1/1/2009,9/9/2009,2013,"MODEL",0.0429
2601,1/1/2009,9/9/2009,2013,"MODEL",0.06435
2602,1/1/2009,9/9/2009,2013,"MODEL",0.075075
2603,1/1/2009,9/9/2009,2013,"MODEL",0.0858
2604,1/1/2009,9/9/2009,2013,"MODEL",0.10725
2605,1/1/2009,9/9/2009,2013,"MODEL",0.1287
2606,1/1/2009,9/9/2009,2013,"MODEL",0.15015
2607,1/1/2009,9/9/2009,2013,"MODEL",0.1716
2608,1/1/2009,9/9/2009,2013,"MODEL",0.19305
2609,1/1/2009,9/9/2009,2013,"MODEL",0.19305
2600,1/1/2009,9/9/2009,2014,"MODEL",0.3055
2601,1/1/2009,9/9/2009,2014,"MODEL",0.3008
2602,1/1/2009,9/9/2009,2014,"MODEL",0.2961
2603,1/1/2009,9/9/2009,2014,"MODEL",0.2898
2604,1/1/2009,9/9/2009,2014,"MODEL",0.252
2605,1/1/2009,9/9/2009,2014,"MODEL",0.217
2606,1/1/2009,9/9/2009,2014,"MODEL",0.156
2607,1/1/2009,9/9/2009,2014,"MODEL",0.096
2608,1/1/2009,9/9/2009,2014,"MODEL",0.042
2609,1/1/2009,9/9/2009,2014,"MODEL",0.042
2600,1/1/2009,9/9/2009,2015,"MODEL",0.33
2601,1/1/2009,9/9/2009,2015,"MODEL",0.21
2602,1/1/2009,9/9/2009,2015,"MODEL",0.15
2603,1/1/2009,9/9/2009,2015,"MODEL",0.1
2604,1/1/2009,9/9/2009,2015,"MODEL",0.05
2605,1/1/2009,9/9/2009,2015,"MODEL",0
2606,1/1/2009,9/9/2009,2015,"MODEL",0
2607,1/1/2009,9/9/2009,2015,"MODEL",0
2608,1/1/2009,9/9/2009,2015,"MODEL",0
2609,1/1/2009,9/9/2009,2015,"MODEL",0
2600,1/1/2009,9/9/2009,2017,"MODEL",0.021
2601,1/1/2009,9/9/2009,2017,"MODEL",0.0315
2602,1/1/2009,9/9/2009,2017,"MODEL",0.03675
2603,1/1/2009,9/9/2009,2017,"MODEL",0.042
2604,1/1/2009,9/9/2009,2017,"MODEL",0.0525
2605,1/1/2009,9/9/2009,2017,"MODEL",0.063
2606,1/1/2009,9/9/2009,2017,"MODEL",0.0735
2607,1/1/2009,9/9/2009,2017,"MODEL",0.084
2608,1/1/2009,9/9/2009,2017,"MODEL",0.0945
2609,1/1/2009,9/9/2009,2017,"MODEL",0.0945
2600,1/1/2009,9/9/2009,2019,"MODEL",0.013
2601,1/1/2009,9/9/2009,2019,"MODEL",0.0195
2602,1/1/2009,9/9/2009,2019,"MODEL",0.02275
2603,1/1/2009,9/9/2009,2019,"MODEL",0.026
2604,1/1/2009,9/9/2009,2019,"MODEL",0.0325
2605,1/1/2009,9/9/2009,2019,"MODEL",0.039
2606,1/1/2009,9/9/2009,2019,"MODEL",0.0455
2607,1/1/2009,9/9/2009,2019,"MODEL",0.052
2608,1/1/2009,9/9/2009,2019,"MODEL",0.0585
2609,1/1/2009,9/9/2009,2019,"MODEL",0.0585
2600,1/1/2009,9/9/2009,2022,"MODEL",0.0156
2601,1/1/2009,9/9/2009,2022,"MODEL",0.0234
2602,1/1/2009,9/9/2009,2022,"MODEL",0.0273
2603,1/1/2009,9/9/2009,2022,"MODEL",0.0312
2604,1/1/2009,9/9/2009,2022,"MODEL",0.039
2605,1/1/2009,9/9/2009,2022,"MODEL",0.0468
2606,1/1/2009,9/9/2009,2022,"MODEL",0.0546
2607,1/1/2009,9/9/2009,2022,"MODEL",0.0624
2608,1/1/2009,9/9/2009,2022,"MODEL",0.0702
2609,1/1/2009,9/9/2009,2022,"MODEL",0.0702
2600,1/1/2009,9/9/2009,2023,"MODEL",0.0195
2601,1/1/2009,9/9/2009,2023,"MODEL",0.02925
2602,1/1/2009,9/9/2009,2023,"MODEL",0.034125
2603,1/1/2009,9/9/2009,2023,"MODEL",0.039
2604,1/1/2009,9/9/2009,2023,"MODEL",0.04875
2605,1/1/2009,9/9/2009,2023,"MODEL",0.0585
2606,1/1/2009,9/9/2009,2023,"MODEL",0.06825
2607,1/1/2009,9/9/2009,2023,"MODEL",0.078
2608,1/1/2009,9/9/2009,2023,"MODEL",0.08775
2609,1/1/2009,9/9/2009,2023,"MODEL",0.08775
2600,1/1/2009,9/9/2009,2024,"MODEL",0.0235
2601,1/1/2009,9/9/2009,2024,"MODEL",0.0564
2602,1/1/2009,9/9/2009,2024,"MODEL",0.0799
2603,1/1/2009,9/9/2009,2024,"MODEL",0.092
2604,1/1/2009,9/9/2009,2024,"MODEL",0.1
2605,1/1/2009,9/9/2009,2024,"MODEL",0.105
2606,1/1/2009,9/9/2009,2024,"MODEL",0.091
2607,1/1/2009,9/9/2009,2024,"MODEL",0.064
2608,1/1/2009,9/9/2009,2024,"MODEL",0.028
2609,1/1/2009,9/9/2009,2024,"MODEL",0.028
2600,1/1/2009,9/9/2009,2025,"MODEL",0.141
2601,1/1/2009,9/9/2009,2025,"MODEL",0.1128
2602,1/1/2009,9/9/2009,2025,"MODEL",0.094
2603,1/1/2009,9/9/2009,2025,"MODEL",0.0782
2604,1/1/2009,9/9/2009,2025,"MODEL",0.048
2605,1/1/2009,9/9/2009,2025,"MODEL",0.028
2606,1/1/2009,9/9/2009,2025,"MODEL",0.013
2607,1/1/2009,9/9/2009,2025,"MODEL",0
2608,1/1/2009,9/9/2009,2025,"MODEL",0
