TGT_FUND_NBR,EFFTV_STRT_DT,EFFTV_END_DT,FUND_NBR,TRGT_FUND_WGT,WGT_TYPE
2607,1/1/2009,9/9/2009,2022,0.0624,"MODEL"
2604,1/1/2009,9/9/2009,2017,0.0525,"MODEL"
2605,1/1/2009,9/9/2009,2025,0.028,"MODEL"
2602,1/1/2009,9/9/2009,2029,0.03,"MODEL"
2609,1/1/2009,9/9/2009,2014,0.042,"MODEL"
2607,1/1/2009,9/9/2009,2011,0.196,"MODEL"
2606,1/1/2009,9/9/2009,2011,0.1715,"MODEL"
2604,1/1/2009,9/9/2009,2014,0.252,"MODEL"
2605,1/1/2009,9/9/2009,2029,0.05,"MODEL"
2609,1/1/2009,9/9/2009,2010,0.0468,"MODEL"
2602,1/1/2009,9/9/2009,2014,0.2961,"MODEL"
2608,1/1/2009,9/9/2009,2029,0.03,"MODEL"
2607,1/1/2009,9/9/2009,2023,0.078,"MODEL"
2607,1/1/2009,9/9/2009,2025,0,"MODEL"
2600,1/1/2009,9/9/2009,2024,0.0235,"MODEL"
2609,1/1/2009,9/9/2009,2022,0.0702,"MODEL"
2605,1/1/2009,9/9/2009,2017,0.063,"MODEL"
2600,1/1/2009,9/9/2009,2022,0.0156,"MODEL"
2600,1/1/2009,9/9/2009,2011,0.049,"MODEL"
2605,1/1/2009,9/9/2009,2019,0.039,"MODEL"
2607,1/1/2009,9/9/2009,2024,0.064,"MODEL"
2604,1/1/2009,9/9/2009,2019,0.0325,"MODEL"
2601,1/1/2009,9/9/2009,2014,0.3008,"MODEL"
2609,1/1/2009,9/9/2009,2011,0.2205,"MODEL"
2607,1/1/2009,9/9/2009,2012,0.1144,"MODEL"
2602,1/1/2009,9/9/2009,2013,0.075075,"MODEL"
2600,1/1/2009,9/9/2009,2025,0.141,"MODEL"
2603,1/1/2009,9/9/2009,2014,0.2898,"MODEL"
2608,1/1/2009,9/9/2009,2010,0.0468,"MODEL"
2602,1/1/2009,9/9/2009,2010,0.0182,"MODEL"
2601,1/1/2009,9/9/2009,2024,0.0564,"MODEL"
2606,1/1/2009,9/9/2009,2024,0.091,"MODEL"
2600,1/1/2009,9/9/2009,2013,0.0429,"MODEL"
2608,1/1/2009,9/9/2009,2017,0.0945,"MODEL"
2605,1/1/2009,9/9/2009,2022,0.0468,"MODEL"
2602,1/1/2009,9/9/2009,2022,0.0273,"MODEL"
2600,1/1/2009,9/9/2009,2019,0.013,"MODEL"
2605,1/1/2009,9/9/2009,2015,0,"MODEL"
2604,1/1/2009,9/9/2009,2022,0.039,"MODEL"
2601,1/1/2009,9/9/2009,2029,0.02,"MODEL"
2601,1/1/2009,9/9/2009,2010,0.0156,"MODEL"
2606,1/1/2009,9/9/2009,2010,0.0364,"MODEL"
2604,1/1/2009,9/9/2009,2024,0.1,"MODEL"
2600,1/1/2009,9/9/2009,2029,0,"MODEL"
2602,1/1/2009,9/9/2009,2015,0.15,"MODEL"
2608,1/1/2009,9/9/2009,2011,0.2205,"MODEL"
2609,1/1/2009,9/9/2009,2017,0.0945,"MODEL"
2600,1/1/2009,9/9/2009,2017,0.021,"MODEL"
2606,1/1/2009,9/9/2009,2014,0.156,"MODEL"
2609,1/1/2009,9/9/2009,2012,0.1287,"MODEL"
2605,1/1/2009,9/9/2009,2014,0.217,"MODEL"
2600,1/1/2009,9/9/2009,2010,0.0104,"MODEL"
2606,1/1/2009,9/9/2009,2012,0.1001,"MODEL"
2606,1/1/2009,9/9/2009,2025,0.013,"MODEL"
2605,1/1/2009,9/9/2009,2011,0.147,"MODEL"
2601,1/1/2009,9/9/2009,2011,0.0735,"MODEL"
2603,1/1/2009,9/9/2009,2017,0.042,"MODEL"
2607,1/1/2009,9/9/2009,2013,0.1716,"MODEL"
2600,1/1/2009,9/9/2009,2023,0.0195,"MODEL"
2603,1/1/2009,9/9/2009,2010,0.0208,"MODEL"
2601,1/1/2009,9/9/2009,2019,0.0195,"MODEL"
2600,1/1/2009,9/9/2009,2014,0.3055,"MODEL"
2602,1/1/2009,9/9/2009,2017,0.03675,"MODEL"
2605,1/1/2009,9/9/2009,2010,0.0312,"MODEL"
2607,1/1/2009,9/9/2009,2010,0.0416,"MODEL"
2606,1/1/2009,9/9/2009,2015,0,"MODEL"
2600,1/1/2009,9/9/2009,2015,0.33,"MODEL"
2606,1/1/2009,9/9/2009,2029,0.04,"MODEL"
2608,1/1/2009,9/9/2009,2015,0,"MODEL"
2608,1/1/2009,9/9/2009,2019,0.0585,"MODEL"
2604,1/1/2009,9/9/2009,2010,0.026,"MODEL"
2603,1/1/2009,9/9/2009,2013,0.0858,"MODEL"
2609,1/1/2009,9/9/2009,2015,0,"MODEL"
2606,1/1/2009,9/9/2009,2013,0.15015,"MODEL"
2605,1/1/2009,9/9/2009,2023,0.0585,"MODEL"
2609,1/1/2009,9/9/2009,2023,0.08775,"MODEL"
2604,1/1/2009,9/9/2009,2015,0.05,"MODEL"
2602,1/1/2009,9/9/2009,2019,0.02275,"MODEL"
2607,1/1/2009,9/9/2009,2014,0.096,"MODEL"
2604,1/1/2009,9/9/2009,2012,0.0715,"MODEL"
2604,1/1/2009,9/9/2009,2011,0.1225,"MODEL"
2603,1/1/2009,9/9/2009,2019,0.026,"MODEL"
2604,1/1/2009,9/9/2009,2013,0.10725,"MODEL"
2602,1/1/2009,9/9/2009,2023,0.034125,"MODEL"
2603,1/1/2009,9/9/2009,2012,0.0572,"MODEL"
2604,1/1/2009,9/9/2009,2025,0.048,"MODEL"
2608,1/1/2009,9/9/2009,2025,0,"MODEL"
2601,1/1/2009,9/9/2009,2023,0.02925,"MODEL"
2603,1/1/2009,9/9/2009,2024,0.092,"MODEL"
2607,1/1/2009,9/9/2009,2029,0.04,"MODEL"
2601,1/1/2009,9/9/2009,2025,0.1128,"MODEL"
2601,1/1/2009,9/9/2009,2013,0.06435,"MODEL"
2605,1/1/2009,9/9/2009,2013,0.1287,"MODEL"
2608,1/1/2009,9/9/2009,2013,0.19305,"MODEL"
2605,1/1/2009,9/9/2009,2024,0.105,"MODEL"
2606,1/1/2009,9/9/2009,2019,0.0455,"MODEL"
2602,1/1/2009,9/9/2009,2025,0.094,"MODEL"
2603,1/1/2009,9/9/2009,2011,0.098,"MODEL"
2609,1/1/2009,9/9/2009,2025,0,"MODEL"
2609,1/1/2009,9/9/2009,2013,0.19305,"MODEL"
2608,1/1/2009,9/9/2009,2024,0.028,"MODEL"
2603,1/1/2009,9/9/2009,2025,0.0782,"MODEL"
2601,1/1/2009,9/9/2009,2012,0.0429,"MODEL"
2603,1/1/2009,9/9/2009,2023,0.039,"MODEL"
2607,1/1/2009,9/9/2009,2019,0.052,"MODEL"
2605,1/1/2009,9/9/2009,2012,0.0858,"MODEL"
2609,1/1/2009,9/9/2009,2024,0.028,"MODEL"
2602,1/1/2009,9/9/2009,2024,0.0799,"MODEL"
2606,1/1/2009,9/9/2009,2023,0.06825,"MODEL"
2603,1/1/2009,9/9/2009,2015,0.1,"MODEL"
2602,1/1/2009,9/9/2009,2011,0.08575,"MODEL"
2600,1/1/2009,9/9/2009,2012,0.0286,"MODEL"
2607,1/1/2009,9/9/2009,2015,0,"MODEL"
2606,1/1/2009,9/9/2009,2017,0.0735,"MODEL"
2606,1/1/2009,9/9/2009,2022,0.0546,"MODEL"
2601,1/1/2009,9/9/2009,2015,0.21,"MODEL"
2608,1/1/2009,9/9/2009,2014,0.042,"MODEL"
2608,1/1/2009,9/9/2009,2012,0.1287,"MODEL"
2603,1/1/2009,9/9/2009,2029,0.04,"MODEL"
2603,1/1/2009,9/9/2009,2022,0.0312,"MODEL"
2601,1/1/2009,9/9/2009,2017,0.0315,"MODEL"
2602,1/1/2009,9/9/2009,2012,0.05005,"MODEL"
2608,1/1/2009,9/9/2009,2023,0.08775,"MODEL"
2607,1/1/2009,9/9/2009,2017,0.084,"MODEL"
2608,1/1/2009,9/9/2009,2022,0.0702,"MODEL"
2604,1/1/2009,9/9/2009,2029,0.05,"MODEL"
2609,1/1/2009,9/9/2009,2019,0.0585,"MODEL"
2601,1/1/2009,9/9/2009,2022,0.0234,"MODEL"
2604,1/1/2009,9/9/2009,2023,0.04875,"MODEL"
2609,1/1/2009,9/9/2009,2029,0.03,"MODEL"
2608,1/1/2009,12/31/2009,2025,0,"FIRM"
2608,1/1/2009,12/31/2009,2029,0.03,"FIRM"
2609,1/1/2009,12/31/2009,2011,0.2205,"FIRM"
2609,1/1/2009,12/31/2009,2012,0.1287,"FIRM"
2609,1/1/2009,12/31/2009,2013,0.19305,"FIRM"
2609,1/1/2009,12/31/2009,2014,0.042,"FIRM"
2609,1/1/2009,12/31/2009,2015,0,"FIRM"
2609,1/1/2009,12/31/2009,2017,0.0945,"FIRM"
2609,1/1/2009,12/31/2009,2019,0.0585,"FIRM"
2609,1/1/2009,12/31/2009,2010,0.0468,"FIRM"
2609,1/1/2009,12/31/2009,2022,0.0702,"FIRM"
2609,1/1/2009,12/31/2009,2023,0.08775,"FIRM"
2609,1/1/2009,12/31/2009,2024,0.028,"FIRM"
2609,1/1/2009,12/31/2009,2025,0,"FIRM"
2609,1/1/2009,12/31/2009,2029,0.03,"FIRM"
2604,1/1/2009,12/31/2009,2012,0.0715,"FIRM"
2604,1/1/2009,12/31/2009,2013,0.10725,"FIRM"
2604,1/1/2009,12/31/2009,2014,0.252,"FIRM"
2604,1/1/2009,12/31/2009,2015,0.05,"FIRM"
2604,1/1/2009,12/31/2009,2017,0.0525,"FIRM"
2604,1/1/2009,12/31/2009,2019,0.0325,"FIRM"
2604,1/1/2009,12/31/2009,2010,0.026,"FIRM"
2604,1/1/2009,12/31/2009,2022,0.039,"FIRM"
2604,1/1/2009,12/31/2009,2023,0.04875,"FIRM"
2604,1/1/2009,12/31/2009,2024,0.1,"FIRM"
2604,1/1/2009,12/31/2009,2025,0.048,"FIRM"
2604,1/1/2009,12/31/2009,2029,0.05,"FIRM"
2605,1/1/2009,12/31/2009,2011,0.147,"FIRM"
2605,1/1/2009,12/31/2009,2012,0.0858,"FIRM"
2605,1/1/2009,12/31/2009,2013,0.1287,"FIRM"
2605,1/1/2009,12/31/2009,2014,0.217,"FIRM"
2605,1/1/2009,12/31/2009,2015,0,"FIRM"
2605,1/1/2009,12/31/2009,2017,0.063,"FIRM"
2605,1/1/2009,12/31/2009,2019,0.039,"FIRM"
2605,1/1/2009,12/31/2009,2010,0.0312,"FIRM"
2605,1/1/2009,12/31/2009,2022,0.0468,"FIRM"
2605,1/1/2009,12/31/2009,2023,0.0585,"FIRM"
2605,1/1/2009,12/31/2009,2024,0.105,"FIRM"
2605,1/1/2009,12/31/2009,2025,0.028,"FIRM"
2605,1/1/2009,12/31/2009,2029,0.05,"FIRM"
2606,1/1/2009,12/31/2009,2011,0.1715,"FIRM"
2606,1/1/2009,12/31/2009,2012,0.1001,"FIRM"
2606,1/1/2009,12/31/2009,2013,0.15015,"FIRM"
2606,1/1/2009,12/31/2009,2014,0.156,"FIRM"
2606,1/1/2009,12/31/2009,2015,0,"FIRM"
2606,1/1/2009,12/31/2009,2017,0.0735,"FIRM"
2606,1/1/2009,12/31/2009,2019,0.0455,"FIRM"
2606,1/1/2009,12/31/2009,2010,0.0364,"FIRM"
2606,1/1/2009,12/31/2009,2022,0.0546,"FIRM"
2606,1/1/2009,12/31/2009,2023,0.06825,"FIRM"
2606,1/1/2009,12/31/2009,2024,0.091,"FIRM"
2606,1/1/2009,12/31/2009,2025,0.013,"FIRM"
2606,1/1/2009,12/31/2009,2029,0.04,"FIRM"
2607,1/1/2009,12/31/2009,2011,0.196,"FIRM"
2607,1/1/2009,12/31/2009,2012,0.1144,"FIRM"
2607,1/1/2009,12/31/2009,2013,0.1716,"FIRM"
2607,1/1/2009,12/31/2009,2014,0.096,"FIRM"
2607,1/1/2009,12/31/2009,2015,0,"FIRM"
2607,1/1/2009,12/31/2009,2017,0.084,"FIRM"
2607,1/1/2009,12/31/2009,2019,0.052,"FIRM"
2607,1/1/2009,12/31/2009,2010,0.0416,"FIRM"
2607,1/1/2009,12/31/2009,2022,0.0624,"FIRM"
2607,1/1/2009,12/31/2009,2023,0.078,"FIRM"
2607,1/1/2009,12/31/2009,2024,0.064,"FIRM"
2607,1/1/2009,12/31/2009,2025,0,"FIRM"
2607,1/1/2009,12/31/2009,2029,0.04,"FIRM"
2608,1/1/2009,12/31/2009,2011,0.2205,"FIRM"
2608,1/1/2009,12/31/2009,2012,0.1287,"FIRM"
2608,1/1/2009,12/31/2009,2013,0.19305,"FIRM"
2608,1/1/2009,12/31/2009,2014,0.042,"FIRM"
2608,1/1/2009,12/31/2009,2015,0,"FIRM"
2608,1/1/2009,12/31/2009,2017,0.0945,"FIRM"
2608,1/1/2009,12/31/2009,2019,0.0585,"FIRM"
2608,1/1/2009,12/31/2009,2010,0.0468,"FIRM"
2608,1/1/2009,12/31/2009,2022,0.0702,"FIRM"
2608,1/1/2009,12/31/2009,2023,0.08775,"FIRM"
2608,1/1/2009,12/31/2009,2024,0.028,"FIRM"
2600,1/1/2009,12/31/2009,2011,0.049,"FIRM"
2600,1/1/2009,12/31/2009,2012,0.0286,"FIRM"
2600,1/1/2009,12/31/2009,2013,0.0429,"FIRM"
2600,1/1/2009,12/31/2009,2014,0.3055,"FIRM"
2600,1/1/2009,12/31/2009,2015,0.33,"FIRM"
2600,1/1/2009,12/31/2009,2017,0.021,"FIRM"
2600,1/1/2009,12/31/2009,2019,0.013,"FIRM"
2600,1/1/2009,12/31/2009,2010,0.0104,"FIRM"
2600,1/1/2009,12/31/2009,2022,0.0156,"FIRM"
2600,1/1/2009,12/31/2009,2023,0.0195,"FIRM"
2600,1/1/2009,12/31/2009,2024,0.0235,"FIRM"
2600,1/1/2009,12/31/2009,2025,0.141,"FIRM"
2600,1/1/2009,12/31/2009,2029,0,"FIRM"
2601,1/1/2009,12/31/2009,2011,0.0735,"FIRM"
2601,1/1/2009,12/31/2009,2012,0.0429,"FIRM"
2601,1/1/2009,12/31/2009,2013,0.06435,"FIRM"
2601,1/1/2009,12/31/2009,2014,0.3008,"FIRM"
2601,1/1/2009,12/31/2009,2015,0.21,"FIRM"
2601,1/1/2009,12/31/2009,2017,0.0315,"FIRM"
2601,1/1/2009,12/31/2009,2019,0.0195,"FIRM"
2601,1/1/2009,12/31/2009,2010,0.0156,"FIRM"
2601,1/1/2009,12/31/2009,2022,0.0234,"FIRM"
2601,1/1/2009,12/31/2009,2023,0.02925,"FIRM"
2601,1/1/2009,12/31/2009,2024,0.0564,"FIRM"
2601,1/1/2009,12/31/2009,2025,0.1128,"FIRM"
2601,1/1/2009,12/31/2009,2029,0.02,"FIRM"
2602,1/1/2009,12/31/2009,2011,0.08575,"FIRM"
2602,1/1/2009,12/31/2009,2012,0.05005,"FIRM"
2602,1/1/2009,12/31/2009,2013,0.075075,"FIRM"
2602,1/1/2009,12/31/2009,2014,0.2961,"FIRM"
2602,1/1/2009,12/31/2009,2015,0.15,"FIRM"
2602,1/1/2009,12/31/2009,2017,0.03675,"FIRM"
2602,1/1/2009,12/31/2009,2019,0.02275,"FIRM"
2602,1/1/2009,12/31/2009,2010,0.0182,"FIRM"
2602,1/1/2009,12/31/2009,2022,0.0273,"FIRM"
2602,1/1/2009,12/31/2009,2023,0.034125,"FIRM"
2602,1/1/2009,12/31/2009,2024,0.0799,"FIRM"
2602,1/1/2009,12/31/2009,2025,0.094,"FIRM"
2602,1/1/2009,12/31/2009,2029,0.03,"FIRM"
2603,1/1/2009,12/31/2009,2011,0.098,"FIRM"
2603,1/1/2009,12/31/2009,2012,0.0572,"FIRM"
2603,1/1/2009,12/31/2009,2013,0.0858,"FIRM"
2603,1/1/2009,12/31/2009,2014,0.2898,"FIRM"
2603,1/1/2009,12/31/2009,2015,0.1,"FIRM"
2603,1/1/2009,12/31/2009,2017,0.042,"FIRM"
2603,1/1/2009,12/31/2009,2019,0.026,"FIRM"
2603,1/1/2009,12/31/2009,2010,0.0208,"FIRM"
2603,1/1/2009,12/31/2009,2022,0.0312,"FIRM"
2603,1/1/2009,12/31/2009,2023,0.039,"FIRM"
2603,1/1/2009,12/31/2009,2024,0.092,"FIRM"
2603,1/1/2009,12/31/2009,2025,0.0782,"FIRM"
2603,1/1/2009,12/31/2009,2029,0.04,"FIRM"
2604,1/1/2009,12/31/2009,2011,0.1225,"FIRM"
2603,9/10/2009,12/31/2009,2029,0.04,"MODEL"
2603,9/10/2009,12/31/2009,2017,0.042,"MODEL"
2601,9/10/2009,12/31/2009,2011,0.0735,"MODEL"
2603,9/10/2009,12/31/2009,2011,0.098,"MODEL"
2603,9/10/2009,12/31/2009,2022,0.0312,"MODEL"
2603,9/10/2009,12/31/2009,2023,0.039,"MODEL"
2603,9/10/2009,12/31/2009,2013,0.0858,"MODEL"
2603,9/10/2009,12/31/2009,2010,0.0208,"MODEL"
2603,9/10/2009,12/31/2009,2019,0.026,"MODEL"
2603,9/10/2009,12/31/2009,2012,0.0572,"MODEL"
2600,9/10/2009,12/31/2009,2015,0.15,"MODEL"
2600,9/10/2009,12/31/2009,2025,0.1978421,"MODEL"
2600,9/10/2009,12/31/2009,2014,0.4286579,"MODEL"
2600,9/10/2009,12/31/2009,2024,0.0235,"MODEL"
2600,9/10/2009,12/31/2009,2029,0,"MODEL"
2600,9/10/2009,12/31/2009,2017,0.021,"MODEL"
2600,9/10/2009,12/31/2009,2011,0.049,"MODEL"
2600,9/10/2009,12/31/2009,2022,0.0156,"MODEL"
2600,9/10/2009,12/31/2009,2023,0.0195,"MODEL"
2600,9/10/2009,12/31/2009,2013,0.0429,"MODEL"
2600,9/10/2009,12/31/2009,2010,0.0104,"MODEL"
2600,9/10/2009,12/31/2009,2019,0.013,"MODEL"
2600,9/10/2009,12/31/2009,2012,0.0286,"MODEL"
2607,9/10/2009,12/31/2009,2015,0,"MODEL"
2607,9/10/2009,12/31/2009,2025,0,"MODEL"
2607,9/10/2009,12/31/2009,2014,0.096,"MODEL"
2607,9/10/2009,12/31/2009,2024,0.064,"MODEL"
